condition_id,chunker,retriever,model,question,gold,answer,correct,retrieval_hit,failure_type,retrieved_text,raw_output
fixed_hybrid,fixed,hybrid,biomistral,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,yes,yes,1,1,success,"programmed cell death ( pcd ) is the regulated death of cells within an organism. the lace plant ( aponogeton madagascariensis ) produces perforations in its leaves through pcd. the leaves of the plant consist of a latticework of longitudinal and transverse veins enclosing areoles. pcd occurs in the cells at the center of these areoles and progresses outwards, stopping approximately five cells from the vasculature. the role of mitochondria during pcd has been recognized in animals ; however, it has been less studied during pcd in plants. the following paper elucidates the role of mitochondrial dynamics during developmentally regulated pcd in vivo in a. madagascariensis. a single areole within a window stage leaf ( pcd is occurring ) was divided into three areas based on the progression of pcd ; cells that will not undergo pcd ( npcd ), cells in early stages of pcd ( epcd ), and cells in late stages of pcd ( lpcd ). window stage leaves were stained with the mitochondrial dye mitotracker red cmxros and examined. mitochondrial dynamics were delineated into four categories ( m1 - m4 ) based on characteristics including distribution, motility, and membrane potential ( δψm ). a tunel assay showed fragmented ndna in a gradient over these mitochondrial stages. chloroplasts and transvacuolar strands were also examined using live cell imaging. the possible importance of mitochondrial permeability transition pore ( ptp ) formation during pcd was indirectly examined via in vivo cyclosporine a ( csa ) treatment. this treatment resulted in lace plant leaves with a significantly lower number of perforations compared to controls, and that displayed mitochondrial dynamics similar to that of non - pcd cells. plant acclimation in the cold ( 2 degrees c ) brought about retardation of leaf expansion, concomitant with development of freezing resistance. these effects were associated with the increases in leaf tensile stiffness, cell wall and pectin contents, pectin methylesterase ( ec 3. 1. 1. 11 ) activity and the low - methylated pectin content, independently of the genotype studied. however, the cold - induced modifications in the cell wall properties were more pronounced in the leaves of the more pathogen - resistant genotype. de - acclimation promoted leaf expansion and reversed most of the cold - induced effects, with the exception of pectin methylesterase activity. the hypothesis was tested that pectin content and methylation degree participate in regulation of cell wall mechanical properties and in this way may affect tissue growth and freezing resistance over the course of plant cold acclimation and de - acclimation. ) mortality ; ( iii ) cv mortality ; and ( iv ) arrhythmic death. hazards were estimated before and after adjustment for a hypoglycaemia propensity score. during a median of 6. 2 years ( iqr : 5. 8 - 6. 7 ), non - severe hypoglycaemic episodes occurred in 41. 7 and 14. 4 % glargine and standard group participants, respectively, while severe episodes occurred in 5. 7 and 1. 8 %, respectively. non - severe hypoglycaemia was not associated with any outcome following adjustment. conversely, severe hypoglycaemia was associated with a greater risk for the primary outcome ( hr : 1. 58 ; 95 % ci : 1. 24 - 2. 02, p < 0. 001 ), mortality ( hr : 1. 74 ; 95 % ci : 1. 39 - 2. 19, p < 0. 001 ), cv death ( hr : 1. 71 ; 95 % ci : 1. 27 - 2. 30, p < 0. 001 ) and arrhythmic death ( hr : 1. 77 ; 95 % ci : 1. 17 - 2. 67, p = 0.", Yes.
fixed_hybrid,fixed,hybrid,biomistral,Landolt C and snellen e acuity: differences in strabismus amblyopia?,no,yes,0,1,generation_failure,"differences between landolt c acuity ( lr ) and snellen e acuity ( se ) were small. the mean decimal values for lr and se were 0. 25 and 0. 29 in the entire group and 0. 14 and 0. 16 for the eyes with strabismus amblyopia. the mean difference between lr and se was 0. 55 lines in the entire group and 0. 55 lines for the eyes with strabismus amblyopia, with higher values of se in both groups. the results of the other groups were similar with only small differences between lr and se. assessment of visual acuity depends on the optotypes used for measurement. the ability to recognize different optotypes differs even if their critical details appear under the same visual angle. since optotypes are evaluated on individuals with good visual acuity and without eye disorders, differences in the lower visual acuity range cannot be excluded. in this study, visual acuity measured with the snellen e was compared to the landolt c acuity. 100 patients ( age 8 - 90 years, median 60. 5 years ) with various eye disorders, among them 39 with amblyopia due to strabismus, and 13 healthy volunteers were tested. charts with the snellen e and the landolt c ( precision vision ) which mimic the etdrs charts were used to assess visual acuity. three out of 5 optotypes per line had to be correctly identified, while wrong answers were monitored. in the group of patients, the eyes with the lower visual acuity, and the right eyes of the healthy subjects, were evaluated. 12 such cases were detected. in nine of these the eye showing improvement of acuity had a history of amblyopia. the mean improvement in distance and near acuity in amblyopic eyes by 12 months was 3. 3 and 1. 9 lines logmar respectively. the improvement in acuity generally occurred between 1 and 12 months from baseline and remained stable over the period of follow up. the records of 465 patients with an established diagnosis of age related macular degeneration who had attended a specialist macular clinic between 1990 and 1998 were scrutinised. a full clinical examination and standardised refraction had been carried out in 189 of these cases on a minimum of two occasions. cases were looked for where an improvement of one or more lines of either distance or near acuity was recorded in the eye unaffected by macular disease. in each one of these cases the improvement in visual acuity could not be attributed to treatment of other existing pathology.", Yes. The mean difference between landolt c acuity (lr) and snellen e acuity (se) was 0.55 lines in the entire group and 0.55 lines for the eyes with strabismus ambly
fixed_hybrid,fixed,hybrid,biomistral,"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",yes,yes,1,1,success,"eight infants aged 2 to 15 months were admitted during a period of 6 years ; they suffered from similar maladies in the bath : on immersion, they became pale, hypotonic, still and unreactive ; recovery took a few seconds after withdrawal from the bath and stimulation. two diagnoses were initially considered : seizure or gastroesophageal reflux but this was doubtful. the hypothesis of an equivalent of aquagenic urticaria was then considered ; as for patients with this disease, each infant ' s family contained members suffering from dermographism, maladies or eruption after exposure to water or sun. all six infants had dermographism. we found an increase in blood histamine levels after a trial bath in the two infants tested. the evolution of these "" aquagenic maladies "" was favourable after a few weeks without baths. after a 2 - 7 year follow - up, three out of seven infants continue to suffer from troubles associated with sun or water. apparent life - threatening events in infants are a difficult and frequent problem in pediatric practice. the prognosis is uncertain because of risk of sudden infant death syndrome. infantile hypertrophic pyloric stenosis ( ihps ) is a common condition which presents in infants at 2 - 12 weeks of postnatal life, and whose cause remains obscure. multiple associated abnormalities have been recognized within the external hypertrophied pyloric muscle layer, but the internal component of the pyloric mucosa has received scant attention in the literature to date. our purpose in this study was to show that pyloric mucosal redundancy is a constant finding in infants with ihps, to discuss its possible cause, and to explore the hypothesis of a relationship between pyloric mucosal redundancy and the development of ihps. mean mucosal thickness in patients with ihps approximated mean muscle thickness, with a ratio of 0. 89. in infants with ihps, the pyloric mucosa constitutes approximately one third of the cross - sectional diameter of the pyloric mass and fills and obstructs the pyloric canal. we identified 102 consecutive infants with surgically confirmed ihps and determined the thickness of the pyloric mucosa compared with the thickness of the surrounding hypertrophied muscle. fifty - one infants who did not have pyloric stenosis served as controls."," Yes. The infants in the study had a similar presentation to patients with aquagenic urticaria. The infants had a family history of dermographism, eruptions after exposure to water or sun, and an increase in"
fixed_hybrid,fixed,hybrid,biomistral,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,no,maybe,0,1,generation_failure,"the transanal endorectal pull - through ( terpt ) is becoming the most popular procedure in the treatment of hirschsprung disease ( hd ), but overstretching of the anal sphincters remains a critical issue that may impact the continence. this study examined the long - term outcome of terpt versus conventional transabdominal ( abd ) pull - through for hd. treatment of neonatal testicular torsion has two objectives : salvage of the involved testicle ( which is rarely achieved ) and preservation of the contralateral gonad. the second goal universally involves contralateral testicular scrotal fixation to prevent the future occurrence of contralateral torsion. however, there is controversy with regards to management of a synchronous contralateral hydrocele. it has been our policy not to address the contralateral hydrocele through an inguinal incision to minimize potential injury to the spermatic cord. our objective in this study was to determine whether the decision to manage a contralateral hydrocele in cases of neonatal testicular torsion solely through a scrotal approach is safe and effective. records of 41 patients more than 3 years old who underwent a pull - through for hd ( terpt, n = 20 ; abd, n = 21 ) were reviewed, and their families were thoroughly interviewed and scored via a 15 - item post - pull - through long - term outcome questionnaire. patients were operated on between the years 1995 and 2003. during this time, our group transitioned from the abd to the terpt technique. total scoring ranged from 0 to 40 : 0 to 10, excellent ; 11 to 20 good ; 21 to 30 fair ; 31 to 40 poor. a 2 - tailed student t test, analysis of covariance, as well as logistic and linear regression were used to analyze the collected data with confidence interval higher than 95 %. three months after swl treatment, 39 patients were stone - free ( nr group ) and 39 had residual fragments ( r group ). both groups presented no differences in relation to infundibulopelvic angle, width and length of the lower calyceal infundibulum, length / width ratio of the lower infundibulum or number of lower calyces. height of the infundibulum, described as the distance between the line passing through the lowest part of the calyx containing the calculus and the highest point of the lower lip of renal pelvis, was the only parameter in which significant differences ( p = 0. 002 ) were found between the nr and r groups. from 1998 to 2009, 79 patients were operated on for hirschsprung ' s disease. all available preoperative contrast enemas ( n = 61 ) had been single blind reviewed by the same radiologist who defined the radiographic transition zone when present in vertebral level. four groups were determined ( rectal, rectosigmoid, long segment, and absence of transition zone ) and by kappa coefficient of agreement correlated to the length of aganglionosis in the pathological report."," Maybe. The long-term results of the transanal pull-through are equal to those of the transabdominal pull-through. The transanal pull-through is becoming the most popular procedure in the treatment of Hirschsprung disease,"
fixed_hybrid,fixed,hybrid,biomistral,Can tailored interventions increase mammography use among HMO women?,yes,yes,1,1,success,"telephone counseling and tailored print communications have emerged as promising methods for promoting mammography screening. however, there has been little research testing, within the same randomized field trial, of the efficacy of these two methods compared to a high - quality usual care system for enhancing screening. this study addressed the question : compared to usual care, is tailored telephone counseling more effective than tailored print materials for promoting mammography screening? compared to usual care alone, telephone counseling promoted a significantly higher proportion of women having mammograms on schedule ( 71 % vs 61 % ) than did tailored print ( 67 % vs 61 % ) but only after the first year of intervention ( during 1996 ). furthermore, compared to usual care, telephone counseling was more effective than tailored print materials at promoting being on schedule with screening during 1996 and 1997 among women who were off - schedule during the previous year. women were randomized to 1 of 3 groups : ( 1 ) usual care, ( 2 ) tailored print communications, and ( 3 ) tailored telephone counseling. to assess the extent to which the title and font of participant information sheets ( piss ) can influence pregnant women ' s and trainee midwives ' perceptions of an antenatal intervention. the rate of overall adherence to follow - up recommendations was 56. 0 % ( 136 / 243 ). adherence to a second colposcopy was not significantly different from that to a repeated pap smear ( odds ratio, 1. 40 ; 95 % confidence interval, 0. 80 - 2. 46 ). the use of as many as 3 patient reminders substantially improved adherence to follow - up. women without insurance and women attending 1 of the 3 clinics were less likely to adhere to any follow - up recommendation ( hazard ratio for no insurance, 0. 43 [ 95 % confidence interval, 0. 20 - 0. 93 ], and for clinic, 0. 35 [ 95 % confidence interval, 0. 15 - 0. 73 ] ).", Yes. Tailored telephone counseling is more effective than tailored print materials at promoting being on schedule with screening during 1996 and 1997 among women who were off - schedule during the previous year.
fixed_hybrid,fixed,hybrid,biomistral,Double balloon enteroscopy: is it efficacious and safe in a community setting?,yes,yes,1,0,lucky_guess,"the use of a balloon expandable stent valve includes balloon predilatation of the aortic stenosis before valve deployment. the aim of the study was to see whether or not balloon predilatation is necessary in transcatheter aortic valve replacement ( tavi ). laparoscopic sleeve gastrectomy ( lsg ) is currently being performed with increasing frequency worldwide. it offers an excellent weight loss and resolution of comorbidities in the short term with a very low incidence of complications. however, the ever present risk of a staple line leak is still a major concern. treatment of neonatal testicular torsion has two objectives : salvage of the involved testicle ( which is rarely achieved ) and preservation of the contralateral gonad. the second goal universally involves contralateral testicular scrotal fixation to prevent the future occurrence of contralateral torsion. however, there is controversy with regards to management of a synchronous contralateral hydrocele. it has been our policy not to address the contralateral hydrocele through an inguinal incision to minimize potential injury to the spermatic cord. our objective in this study was to determine whether the decision to manage a contralateral hydrocele in cases of neonatal testicular torsion solely through a scrotal approach is safe and effective. extracranial internal carotid artery stenosis is a risk factor for perioperative stroke in patients undergoing coronary artery bypass surgery ( cab ). although selective and non - selective methods of preoperative carotid screening have been advocated, it remains unclear if this screening is clinically relevant. aim : to test whether selective carotid screening is as effective as non - selective screening in detecting significant carotid disease. a short course of systemic corticosteroids is an important therapy in the treatment of pediatric asthma exacerbations. although a 5 - day course of oral prednisone or prednisolone has become the most commonly used regimen, dexamethasone has also been used for a shorter duration ( 1 - 2 days ) with potential for improvement in compliance and palatability. we reviewed the literature to determine if there is sufficient evidence that dexamethasone can be used as an effective alternative in the treatment of pediatric asthma exacerbations in the inpatient setting.", Yes. The use of double balloon enteroscopy is efficacious and safe in a community setting. The study showed that the use of a balloon predilatation of the aortic stenosis before valve deployment is not
fixed_hybrid,fixed,hybrid,biomistral,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,maybe,yes,0,1,generation_failure,"emergency surgery is associated with poorer outcomes and higher mortality with recent studies suggesting the 30 - day mortality to be 14 - 15 %. the aim of this study was to analyse the 30 - day mortality, age - related 30 - day mortality and 1 - year mortality following emergency laparotomy. we hope this will encourage prospective data collection, improvement of care and initiate strategies to establish best practice in this area. this was a retrospective study of patients who underwent emergency laparotomy from june 2010 to may 2012. the primary end point of the study was 30 - day mortality, age - related 30 - day mortality and 1 - year all - cause mortality. was normal in 59 %. the relative risks of 30 day and 1 year mortality compared with patients with normal fb - glu was 1. 7 [ 95 % confidence interval ( ci ) : 0. 5 - 5. 5 ] and 2. 9 ( ci : 0. 8 - 11. 2 ) with ifg, 2. 8 ( ci : 1. 1 - 7. 2 ) and 1. 9 ( ci : 0. 5 - 6. 3 ) with sdm vs. 1. 8 ( ci : 0. 8 - 4. 0 ) and 1. 6 ( ci : 0. 6 - 4. 3 ) if cdm, respectively. the receiver operator characteristic area for the continuous variable fb - glu and 1 year mortality was 0. 65 ( p = 0. 002 ). 477 laparotomies were performed in 446 patients. 57 % were aged < 70 and 43 % aged > 70 years. 30 - day mortality was 12, 4 % in those aged < 70 years and 22 % in those > 70 years ( p < 0. 001 ). 1 - year mortality was 25, 15 % in those aged under 70 years and 38 % in those aged > 70 years ( p < 0. 001 ). the outcomes of interest were margins, lymph node yield, receipt of neoadjuvant chemoradiation, adjuvant chemotherapy, readmission within 30 days, 30 - day and 90 - day mortality, and 5 - year overall survival.", Yes. The 30-day mortality following emergency laparotomy is 12.4% in patients aged < 70 years and 22% in patients aged > 70 years. The 1-year
fixed_hybrid,fixed,hybrid,biomistral,Is adjustment for reporting heterogeneity necessary in sleep disorders?,no,yes,0,1,generation_failure,"anchoring vignettes are brief texts describing a hypothetical character who illustrates a certain fixed level of a trait under evaluation. this research uses vignettes to elucidate factors associated with sleep disorders in adult japanese before and after adjustment for reporting heterogeneity in self - reports. this study also evaluates the need for adjusting for reporting heterogeneity in the management of sleep and energy related problems in japan. the prevalence of self - reported problems with sleep and energy was 53 %. without correction of cut - point shifts, age, sex, and the number of comorbidities were significantly associated with a greater severity of sleep - related problems. after correction, age, the number of comorbidities, and regular exercise were significantly associated with a greater severity of sleep - related problems ; sex was no longer a significant factor. compared to the ordered probit model, the chopit model provided two changes with a subtle difference in the magnitude of regression coefficients after correction for reporting heterogeneity. exploratory study in patients with mild to moderate sleep apnoea, limited treatment duration ; concomitant hypnotic treatment ( 35 % ) ; lack of correction for multiplicity of testing. we investigated a dataset of 1002 respondents aged 18 years and over from the japanese world health survey, which collected information through face - to - face interview from 2002 to 2003. the ordered probit model and the compound hierarchical ordered probit ( chopit ) model, which incorporated anchoring vignettes, were employed to estimate and compare associations of sleep and energy with socio - demographic and life - style factors before and after adjustment for differences in response category cut - points for each individual. to investigate the effect of fenofibrate on sleep apnoea indices."," Yes. The prevalence of self - reported problems with sleep and energy was 53 %. Without correction of cut - point shifts, age, sex, and the number of comorbidities were significantly associated with a greater severity of sleep -"
fixed_hybrid,fixed,hybrid,biomistral,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,no,1,1,success,"carotid intima - media thickness ( cimt ) measurements were obtained in cases comprising 10 different mutations in lcat, abca1 and apoa1 to further evaluate the relationship between low hdl resulting from genetic variation and early atherosclerosis. although observational data support an inverse relationship between high - density lipoprotein ( hdl ) cholesterol and coronary heart disease ( chd ), genetic hdl deficiency states often do not correlate with premature chd. overall, 205 consecutive patients underwent preoperative carotid screening. the prevalence of significant carotid stenosis was 5. 8 %. univariate analysis confirmed that pvd ( p = 0. 005 ), carotid bruit ( p = 0. 003 ) and diabetes mellitus ( p = 0. 05 ) were significant risk factors for stenosis. carotid stenosis was a risk factor for stroke ( p = 0. 03 ). prevalence of carotid stenosis was higher in the high - risk group ( 9. 1 % ) than the low - risk group ( 1. 2 % ) ( p < 0. 05 ). all concomitant or staged carotid endarterectomies / cab ( 5 / 205 ) and all patients who had perioperative strokes ( 5 / 205 ) were in the high - risk group ( p = 0. 01 ). extracranial internal carotid artery stenosis is a risk factor for perioperative stroke in patients undergoing coronary artery bypass surgery ( cab ). although selective and non - selective methods of preoperative carotid screening have been advocated, it remains unclear if this screening is clinically relevant. aim : to test whether selective carotid screening is as effective as non - selective screening in detecting significant carotid disease. the case records of patients consecutively undergoing cab were reviewed. patients were stratified retrospectively into high - or low - risk groups according to risk factors for significant carotid stenosis and perioperative stroke : peripheral vascular disease ( pvd ), carotid bruit, diabetes mellitus, age > 70 years and / or history of cerebrovascular disease. prevalence of carotid stenosis detected by ultrasonography, surgical management and perioperative stroke rates were determined in each group.", No. The mutations causing low HDL-C do not promote increased carotid intima-media thickness. The mutations causing low HDL-C do not promote increased carotid intima-media thickness because the mutations causing
fixed_hybrid,fixed,hybrid,biomistral,A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,yes,yes,1,1,success,"we evaluated the usefulness of a short stay or 23 - hour ward in a pediatric unit of a large teaching hospital, westmead hospital, and an academic children ' s hospital, the new children ' s hospital, to determine if they are a useful addition to the emergency service. of young age less than 2 years, with stay greater than 23 hours reported in only 1 % of all admissions to the short stay ward. the rate of patient admission to an in - hospital bed was low, ( 4 % [ westmead hospital ] compared to 6 % [ new children ' s hospital ] ), with the number of unscheduled visits within 72 hours of short stay ward discharge less than 1 %. there were no adverse events reported at either short stay ward, with parental satisfaction high. the short stay ward was developed through reallocation of resources from within the hospital to the short stay ward. this resulted in estimated savings of $ 1 / 2 million ( westmead hospital ) to $ 2. 3 million ( new children ' s hospital ) to the hospital, due to more efficient bed usage. the short stay ward accounted for 10. 3 % ( westmead hospital ) and 14. 7 % ( new children ' s hospital ) of admissions, with 56 % medical in nature, 30 % surgical, and the remainder procedural or psychological. admission patterns were similar, with asthma, gastroenteritis, convulsion, pneumonia, and simple surgical conditions accounting for most short stay ward admissions. the short stay ward increased hospital efficiency with an average length of stay of 17. 5 hours ( westmead hospital ) compared to 20. 5 hours ( new children ' s hospital ). the users of the short stay ward were children of young age less than 2 years, with stay greater than 23 hours reported in only 1 % of all admissions to the short stay ward. the rate of patient admission to an in - hospital bed was low, ( 4 % [ westmead hospital ] compared to 6 % [ new children ' s hospital ] ), with the number of unscheduled visits within 72 hours of short stay ward discharge less than 1 %. there were no adverse events reported at either short stay ward, with parental satisfaction high. the short stay ward was developed through reallocation of resources from within the hospital to the short stay ward. this resulted in this is a descriptive comparison of prospectively collected data on all children admitted to the short stay ward at westmead hospital ( wh ) during 1994 and the short stay ward at the new children ' s hospital ( nch ) during 1997 - 98. these hospitals service an identical demographic area with the latter ( nch ) a tertiary referral center. the following outcome measures were used : length of stay, appropriateness of stay, rate of admission to an in - hospital bed, and rate of unscheduled visits within 72 hours of discharge. adverse events were reported and patient follow - up was attempted at 48 hours after discharge in all cases. a short course of systemic corticosteroids is an important therapy in the treatment of pediatric asthma exacerbations. although a 5 - day course of oral prednisone or prednisolone has become the most commonly used regimen, dexamethasone has also been used for a shorter duration ( 1 - 2 days ) with potential for improvement in compliance and palatability. we reviewed the literature to determine if there is sufficient evidence that dexamethasone can be used as an effective alternative in the treatment of pediatric asthma exacerbations in the inpatient setting.", Yes.
