condition_id,chunker,retriever,model,question,gold,answer,correct,retrieval_hit,failure_type,raw_output
2,fixed,bm25,biomistral,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,yes,yes,1,1,success, Yes.
2,fixed,bm25,biomistral,Landolt C and snellen e acuity: differences in strabismus amblyopia?,no,yes,0,1,generation_failure, Yes.
2,fixed,bm25,biomistral,"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",yes,yes,1,1,success, Yes.
2,fixed,bm25,biomistral,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,no,yes,0,1,generation_failure, Yes
2,fixed,bm25,biomistral,Can tailored interventions increase mammography use among HMO women?,yes,yes,1,1,success, Yes
2,fixed,bm25,biomistral,Double balloon enteroscopy: is it efficacious and safe in a community setting?,yes,yes,1,0,lucky_guess, Yes
2,fixed,bm25,biomistral,30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,maybe,yes,0,1,generation_failure, Yes
2,fixed,bm25,biomistral,Is adjustment for reporting heterogeneity necessary in sleep disorders?,no,yes,0,1,generation_failure, Yes.
2,fixed,bm25,biomistral,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,yes,0,1,generation_failure, Yes
2,fixed,bm25,biomistral,A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,yes,yes,1,1,success, Yes.
2,fixed,bm25,biomistral,Did Chile's traffic law reform push police enforcement?,yes,yes,1,1,success, Yes
2,fixed,bm25,biomistral,Therapeutic anticoagulation in the trauma patient: is it safe?,no,yes,0,1,generation_failure, Yes
2,fixed,bm25,biomistral,Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,yes,yes,1,1,success, Yes.
2,fixed,bm25,biomistral,Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,no,yes,0,1,generation_failure, Yes
2,fixed,bm25,biomistral,Do emergency ultrasound fellowship programs impact emergency medicine residents' ultrasound education?,yes,yes,1,1,success, Yes
